full_name,team,games_played,minutes,points,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,personal_fouls,turnovers,salary,points_p36,field_goals_made_p36,field_goals_attempted_p36,free_throws_made_p36,free_throws_attempted_p36,offensive_rebounds_p36,defensive_rebounds_p36,assists_p36,steals_p36,blocks_p36,personal_fouls_p36,turnovers_p36,game_score,value_score
Jaden McDaniels,Minnesota Timberwolves,82,2614.41,1000.0,398.0,834.0,104.0,128.0,129.0,341.0,163.0,110.0,74.0,225.0,95.0,3901399,13.769837171675446,5.480395194326827,11.484044201177323,1.4320630658542464,1.762539157974457,1.7763089951461324,4.695514475541327,2.2444834589830975,1.514682088884299,1.018967950703983,3.098213363626975,1.3081345313091672,11.694722709903957,2.997571565970042
Cam Reddish,Los Angeles Lakers,33,589.45,105.0,38.0,94.0,16.0,26.0,17.0,49.0,22.0,33.0,10.0,43.0,12.0,2165000,6.412757655441513,2.3208075324455,5.740944948680973,0.977182118924421,1.5879209432521841,1.0382560013571973,2.9926202392060395,1.3436254135210788,2.0154381202816185,0.610738824327763,2.6261769446093814,0.7328865891933157,6.302824667062514,2.9112354120381125
Corey Kispert,Washington Wizards,61,1601.52,705.0,255.0,565.0,75.0,88.0,36.0,145.0,103.0,26.0,14.0,98.0,64.0,3722040,15.847444927319048,5.73205454817923,12.700434587142215,1.6858983965233028,1.9781207852540088,0.8092312303311854,3.259403566611719,2.315300464558669,0.5844447774614117,0.31470103401768323,2.2029072381237826,1.4386332983665517,10.783006144163044,2.897068850459169
Noah Clowney,Brooklyn Nets,46,1042.29,420.0,133.0,372.0,67.0,80.0,43.0,138.0,40.0,24.0,21.0,105.0,46.0,3089520,14.506519298851568,4.593731111302996,12.848631378982818,2.3141352214834647,2.7631465331145844,1.485191261549089,4.766427769622658,1.3815732665572922,0.8289439599343753,0.7253259649425784,3.626629824712892,1.588809256540886,8.904239702961751,2.882078673373777
Kris Murray,Portland Trail Blazers,69,1040.39,287.0,117.0,279.0,26.0,57.0,76.0,106.0,68.0,35.0,17.0,66.0,43.0,2847480,9.930891300377743,4.048481819317756,9.654072030680801,0.8996626265150568,1.9723372965907013,2.6297830621209353,3.667855323484462,2.3529637924239943,1.211084304924115,0.5882409481059986,2.2837589749997598,1.4879035746210554,8.173088937802172,2.8702884437475142
Nick Richards,Charlotte Hornets,57,1256.22,529.0,205.0,347.0,119.0,160.0,148.0,318.0,49.0,14.0,55.0,141.0,81.0,5000000,15.159765009313654,5.874767158618713,9.944118068491187,3.4102306920762286,4.585184123799971,4.241295314514973,9.113053446052442,1.4042126379137412,0.4012036108324975,1.5761570425562401,4.040693509098725,2.3212494626737357,14.331566126952284,2.866313225390457
Amir Coffey,LA Clippers,72,1747.54,696.0,240.0,510.0,115.0,129.0,32.0,129.0,77.0,40.0,7.0,120.0,45.0,3666667,14.33786923332227,4.944092839076646,10.50619728303787,2.369044485390892,2.6574499010036967,0.6592123785435526,2.6574499010036967,1.5862297858704237,0.8240154731794409,0.14420270780640213,2.472046419538323,0.9270174073268709,10.223971983473914,2.7883557420060003
Seth Curry,Charlotte Hornets,68,1061.96,444.0,164.0,343.0,33.0,39.0,24.0,89.0,60.0,27.0,7.0,59.0,32.0,4000000,15.051414365889487,5.559531432445666,11.62755659346868,1.1186862028701645,1.3220836943011036,0.8135899657237561,3.0170627895589286,2.03397491430939,0.9152887114392256,0.23729707333609554,2.0000753324042337,1.084786620965008,11.149572488605974,2.7873931221514936
Dalen Terry,Chicago Bulls,73,987.178,326.0,120.0,268.0,49.0,69.0,38.0,86.0,97.0,44.0,15.0,114.0,53.0,3350760,11.888433494263447,4.3761104886859306,9.773313424731912,1.7869117828800887,2.5162635309944106,1.3857683214172114,3.136212516891584,3.537355978354461,1.604573845851508,0.5470138110857413,4.157304964251634,1.9327821325029528,9.28464775349532,2.770908018925652
Jeremy Sochan,San Antonio Spurs,54,1363.97,617.0,251.0,469.0,87.0,125.0,127.0,225.0,128.0,45.0,27.0,131.0,84.0,5316960,16.284815648438016,6.624779137371057,12.378571376203288,2.2962381870569,3.299192797495546,3.351979882255475,5.9385470354919825,3.3783734246354395,1.1877094070983967,0.712625644259038,3.4575540517753325,2.217057559917007,14.447825098792498,2.717309345714938
Ochai Agbaji,Toronto Raptors,64,1738.67,667.0,266.0,534.0,34.0,48.0,61.0,181.0,98.0,58.0,30.0,125.0,54.0,4114200,13.810556344792284,5.507658152495873,11.056727268544346,0.7039863803942094,0.9938631252624132,1.2630343883543167,3.7476922015103495,2.029137214077427,1.2009179430254158,0.6211644532890083,2.5881852220375343,1.118096015920215,11.069150557610133,2.6904745898619735
Josh Giddey,Oklahoma City Thunder,70,2116.64,1022.0,371.0,798.0,175.0,224.0,127.0,439.0,503.0,84.0,45.0,122.0,202.0,6587040,17.38226623327538,6.310000755915036,13.572454456119132,2.976415450903319,3.809811777156248,2.1600272129412654,7.466550759694611,8.555068410310682,1.4286794164335928,0.7653639730894247,2.074986771486885,3.4356338347569735,17.511527704286042,2.6584820654324313
Precious Achiuwa,New York Knicks,57,1169.61,379.0,164.0,327.0,41.0,69.0,101.0,216.0,55.0,47.0,42.0,81.0,45.0,4379527,11.66542693718419,5.047836458306615,10.0648934260138,1.2619591145766538,2.12378485136071,3.1087285505424886,6.648369969477006,1.692871982968682,1.4466360581732374,1.2927386051760843,2.4931387385538772,1.385077076974376,11.619257701285044,2.6530850708957936
Deni Avdija,Washington Wizards,72,2161.15,1219.0,402.0,844.0,290.0,372.0,110.0,412.0,281.0,71.0,35.0,171.0,196.0,6263188,20.305855678689586,6.696434768526016,14.059181454318303,4.830761400180459,6.196700830576313,1.8323577724822433,6.863012747842584,4.680841218795548,1.1827036531476298,0.5830229276079865,2.8484834463133053,3.2649283946047243,16.401267843509245,2.618677236498289
Jonathan Kuminga,Golden State Warriors,47,1144.08,719.0,258.0,568.0,157.0,235.0,56.0,161.0,104.0,38.0,21.0,90.0,71.0,6012840,22.62429200755192,8.118313404657018,17.87287602265576,4.9402139710509765,7.394587791063563,1.7621145374449338,5.066079295154186,3.272498426683449,1.195720578980491,0.6607929515418502,2.8319697923222154,2.23410950283197,15.714285714285712,2.6134548257205767
Dwight Powell,Dallas Mavericks,55,550.86,114.0,42.0,61.0,28.0,43.0,47.0,71.0,55.0,18.0,21.0,75.0,18.0,4000000,7.450168826925172,2.744799041498747,3.986493845986276,1.8298660276658316,2.8101513996296696,3.0715608321533603,4.6400174272955015,3.5943796972007407,1.176342446356606,1.3723995207493735,4.901426859819192,1.176342446356606,10.42370112188215,2.6059252804705375
Dyson Daniels,New Orleans Pelicans,76,2571.17,1073.0,455.0,923.0,83.0,140.0,124.0,325.0,333.0,229.0,55.0,175.0,155.0,5784120,15.023510697464578,6.37064060330511,12.923299509561796,1.1621168573062068,1.9601971087092647,1.7361745819996344,4.550457573789364,4.662468837144179,3.2063224135315824,0.7700774355643539,2.450246385886581,2.170218227499543,14.645472683642076,2.532013976826566
Mason Plumlee,LA Clippers,74,1300.05,333.0,125.0,202.0,83.0,128.0,116.0,339.0,134.0,33.0,47.0,154.0,59.0,5000000,9.221183800623052,3.461405330564209,5.593631014191762,2.2983731394946347,3.54447905849775,3.212184146763586,9.387331256490135,3.710626514364832,0.9138110072689513,1.3014884042921426,4.264451367255106,1.6337833160263069,12.339217722395288,2.4678435444790576
Gradey Dick,Toronto Raptors,54,1587.37,777.0,265.0,647.0,133.0,155.0,44.0,149.0,98.0,48.0,10.0,120.0,83.0,4536720,17.621600509018062,6.009940971544127,14.673327579581322,3.016309997039128,3.5152484927899605,0.9978769915016663,3.3791743575851885,2.2225442083446203,1.0885930816381815,0.22679022534128782,2.721482704095454,1.882358870332689,11.099113628202625,2.4465062045271972
Moritz Wagner,Orlando Magic,30,564.157,386.0,140.0,249.0,79.0,110.0,40.0,108.0,42.0,24.0,12.0,55.0,49.0,8000000,24.631441247737772,8.933683354101783,15.8891939655096,5.04114989267172,7.019322635365686,2.552480958314795,6.891698587449947,2.680105006230535,1.531488574988877,0.7657442874944385,3.509661317682843,3.126789173935624,19.55838534308712,2.44479816788589
Zeke Nnaji,Denver Nuggets,57,607.967,184.0,70.0,141.0,27.0,44.0,33.0,57.0,23.0,25.0,38.0,62.0,14.0,4306281,10.895328200379298,4.14496181536169,8.349137370942831,1.598770985925223,2.605404569655919,1.9540534272419392,3.375183192508804,1.3619160250474123,1.4803435054863174,2.2501221283392026,3.671251893606067,0.8289923630723378,10.397932782535895,2.414596906828861
Aaron Nesmith,Indiana Pacers,45,1121.62,541.0,192.0,379.0,73.0,80.0,37.0,141.0,54.0,35.0,17.0,114.0,37.0,5634257,17.364169683136893,6.1625149337565315,12.164547707779821,2.343039532105348,2.567714555731888,1.1875679820259983,4.525596904477452,1.7332073251190245,1.123375118132701,0.5456393430930262,3.6589932419179405,1.1875679820259983,13.480501417592416,2.3925961165052314
Cole Anthony,Orlando Magic,67,1234.11,630.0,230.0,543.0,93.0,113.0,46.0,158.0,191.0,45.0,32.0,151.0,103.0,5539771,18.377616257870045,6.709288475095414,15.839754965116562,2.712886209495102,3.2963025986338335,1.3418576950190828,4.60898947419598,5.571626516274887,1.3126868755621461,0.9334662226219707,4.404793737997423,3.0045944040644676,13.161873738969787,2.3758876926446573
Obi Toppin,Indiana Pacers,79,1544.81,833.0,317.0,599.0,89.0,114.0,56.0,262.0,128.0,46.0,28.0,108.0,68.0,6803012,19.412095985914128,7.387316239537548,13.958998193952656,2.0740414678827817,2.6566373858273833,1.3050148561959076,6.105605220059425,2.98289109987636,1.071976489018067,0.6525074280979538,2.5168143655206787,1.5846608968093163,16.133246159721907,2.371485771261598
Isaiah Stewart,Detroit Pistons,72,1433.85,435.0,176.0,315.0,66.0,87.0,130.0,269.0,123.0,28.0,101.0,183.0,68.0,5266713,10.921644523485721,4.418872266973533,7.908777068731039,1.6570771001150748,2.184328904697144,3.2639397426509054,6.753844544408412,3.0881891411235487,0.7030024061094258,2.535830107751857,4.594622868500889,1.7072915576943195,12.34773511873627,2.3444860425727145
Devin Vassell,San Antonio Spurs,64,1983.19,1041.0,394.0,889.0,95.0,120.0,34.0,221.0,183.0,84.0,33.0,108.0,88.0,5887899,18.896827837978208,7.152113514085892,16.137636837620196,1.7244943752237556,2.178308684493165,0.6171874606063968,4.011718493941578,3.3219207438520764,1.5248160791452157,0.5990348882356205,1.9604778160438485,1.5974263686283212,13.803216030738357,2.344336414523815
Jarred Vanderbilt,Los Angeles Lakers,36,580.858,147.0,59.0,121.0,20.0,36.0,68.0,114.0,41.0,35.0,10.0,67.0,29.0,4698000,9.11066043680211,3.6566596310974457,7.499251107843914,1.2395456376601512,2.2311821477882723,4.2144551680445135,7.065410134662862,2.54106855720331,2.1692048659052645,0.6197728188300756,4.152477886161506,1.7973411746072192,10.920397067785933,2.32447787734907
Jordan Hawkins,New Orleans Pelicans,56,1320.5,604.0,207.0,556.0,80.0,98.0,25.0,133.0,66.0,30.0,23.0,51.0,58.0,4310160,16.466489965921998,5.643316925407043,15.157894736842104,2.18099204846649,2.6717152593714504,0.6815600151457781,3.6258992805755397,1.7993184399848543,0.8178720181749337,0.6270352139341159,1.3903824308973873,1.5812192351382053,9.860810299129117,2.287806090523117
Nickeil Alexander-Walker,Minnesota Timberwolves,82,2073.1,773.0,270.0,616.0,92.0,118.0,54.0,211.0,223.0,50.0,34.0,139.0,99.0,4687500,13.423375621050601,4.688630553277701,10.697023780811346,1.5976074477835127,2.0491052047658096,0.93772611065554,3.664077950894795,3.872461531040471,0.8682649172736482,0.5904201437460808,2.413776470020742,1.7191645362018235,10.693550721142252,2.281290820510347
Ziaire Williams,Memphis Grizzlies,63,1541.4,632.0,214.0,520.0,101.0,123.0,61.0,226.0,84.0,62.0,28.0,149.0,67.0,4810200,14.760607240171272,4.998053717399767,12.144803425457376,2.358894511483067,2.872713117944725,1.4246788633709615,5.278318411833398,1.9618528610354224,1.448034254573764,0.653950953678474,3.4799532892175944,1.5648112105877774,10.956014013234721,2.2776628857915933
Evan Mobley,Cleveland Cavaliers,71,2166.55,1316.0,505.0,906.0,221.0,305.0,164.0,495.0,226.0,61.0,113.0,141.0,145.0,8882760,21.867023608963557,8.391221065749694,15.054349080335093,3.672197733724123,5.0679651981260525,2.7250698114513856,8.22505827236851,3.7552791304147144,1.0135930396252104,1.8776395652073572,2.342895386674667,2.40936050402714,20.11234451085827,2.264199923318684
Shaedon Sharpe,Portland Trail Blazers,72,2252.33,1335.0,499.0,1104.0,190.0,242.0,68.0,256.0,198.0,62.0,16.0,120.0,150.0,6313800,21.337903415574097,7.975740677431816,17.645726869508465,3.036855167759609,3.86799447683066,1.0868744810929127,4.091762752349789,3.16472275377054,0.9909737915847145,0.2557351720218618,1.9180137901639636,2.3975172377049545,14.05264770260131,2.225703649561486
Scottie Barnes,Toronto Raptors,65,2134.13,1252.0,474.0,1063.0,228.0,302.0,109.0,393.0,378.0,93.0,63.0,113.0,184.0,8008560,21.11961314446636,7.995764081850683,17.93142873208286,3.8460637355737464,5.094347579575752,1.8386883648137649,6.629399333686326,6.376368824767001,1.5687891552998177,1.0627281374611668,1.9061631671922517,3.1038409094103923,17.452357635195597,2.1792129465466448
Miles Bridges,Charlotte Hornets,64,2028.73,1300.0,469.0,1089.0,221.0,254.0,72.0,409.0,248.0,44.0,45.0,93.0,136.0,7921301,23.068619283985548,8.322448033991709,19.324404923277125,3.921665278277543,4.507253306255638,1.2776466064976613,7.257742528576991,4.400782755714165,0.7807840373041263,0.7985291290610382,1.6502935333928122,2.413332478940027,17.05480768756808,2.153031135613718
Onyeka Okongwu,Atlanta Hawks,74,2063.93,988.0,388.0,684.0,164.0,216.0,220.0,440.0,168.0,69.0,68.0,193.0,90.0,8109063,17.2331425968904,6.767671384203922,11.930637182462585,2.860562131467637,3.7675696365671323,3.8373394446517084,7.674678889303417,2.930331939552214,1.2035291894589448,1.1860867374378008,3.366393240080817,1.5698206819029714,17.38314768427224,2.143669087818437
Anthony Edwards,Minnesota Timberwolves,79,2871.06,2177.0,721.0,1612.0,415.0,496.0,61.0,389.0,359.0,91.0,51.0,150.0,249.0,9219512,27.297235167499114,9.0405634156026,20.212743725314,5.203653006206767,6.219305761635075,0.7648742972978622,4.877641010637186,4.501473323441517,1.141041984493532,0.6394850682326387,1.8808384359783494,3.12219180372406,19.222168815698733,2.0849442807492125
Cason Wallace,Oklahoma City Thunder,68,1876.26,568.0,232.0,489.0,30.0,37.0,71.0,158.0,173.0,120.0,35.0,145.0,59.0,5291000,10.89827635828723,4.4514086533849255,9.382494963384605,0.5756131879377059,0.7099229317898372,1.3622845447859038,3.031562789805251,3.319369383774104,2.3024527517508235,0.6715487192606568,2.7821304083655782,1.1320392696108215,10.771641456940936,2.0358422712041078
T.J. McConnell,Indiana Pacers,79,1415.43,720.0,324.0,624.0,57.0,77.0,44.0,149.0,351.0,83.0,21.0,79.0,109.0,8700000,18.31245628536911,8.2406053284161,15.870795447319896,1.4497361225917211,1.9584154638519744,1.1190945507725567,3.789661092388885,8.927322439117441,2.11101926623005,0.5341133083232656,2.0092833979779994,2.772302409868379,17.37394290074394,1.9970049311199933
Kenrich Williams,Oklahoma City Thunder,69,1131.54,436.0,171.0,354.0,28.0,39.0,65.0,176.0,97.0,43.0,10.0,110.0,39.0,6175000,13.87136115382576,5.440373296569277,11.262527175353943,0.8908213585025718,1.2407868922000105,2.0679781536666844,5.599448539159022,3.086059706241052,1.3680470862718066,0.3181504851794899,3.499655336974389,1.2407868922000105,12.26151969881754,1.9856712062862414
Cameron Payne,Philadelphia 76ers,72,1089.98,500.0,179.0,446.0,49.0,54.0,14.0,90.0,203.0,39.0,16.0,111.0,52.0,6500000,16.514064478247306,5.912035083212536,14.730545514596598,1.6183783188682361,1.7835189636507092,0.46239380539092456,2.972531606084515,6.704710178168407,1.28809702930329,0.5284500633039138,3.6661223141709023,1.7174627057377199,12.884273105928552,1.9821958624505465
Bennedict Mathurin,Indiana Pacers,72,2149.32,1156.0,391.0,853.0,276.0,332.0,87.0,296.0,136.0,47.0,24.0,162.0,135.0,6916080,19.362402992574392,6.549048071017809,14.28730947462453,4.622857461894925,5.560828541119982,1.4572050695103567,4.957847133046731,2.2779297638322817,0.7872257272067443,0.4019876053821674,2.71341633632963,2.2611802802746914,13.42973591647591,1.9418132694352739
Ayo Dosunmu,Chicago Bulls,46,1393.88,566.0,221.0,449.0,62.0,79.0,26.0,135.0,208.0,43.0,18.0,105.0,69.0,6481481,14.618188079318163,5.707808419663099,11.596407151261227,1.6012856199959824,2.040347806123913,0.6715068729015409,3.4866703016041547,5.372054983212327,1.1105690590294717,0.4648893735472207,2.711854679025454,1.7820759319310127,12.453869773581657,1.9214543363749208
Kevon Looney,Golden State Warriors,76,1142.16,344.0,143.0,278.0,56.0,99.0,185.0,277.0,118.0,46.0,37.0,154.0,39.0,7500000,10.842613994536666,4.50724942214751,8.762345030468586,1.7650766967850389,3.120403446102122,5.831056944736289,8.73082580374028,3.719268753939903,1.449884429501996,1.1662113889472576,4.853960916158856,1.2292498424038665,14.369615465433911,1.9159487287245216
Ausar Thompson,Detroit Pistons,59,1327.71,594.0,246.0,460.0,91.0,142.0,111.0,192.0,134.0,98.0,40.0,164.0,80.0,7977480,16.10592674605147,6.670131278667781,12.472603204012925,2.4674062860112524,3.850238380369207,3.0096933818379012,5.20595611993583,3.6333235420385477,2.657206769550579,1.0845741916532978,4.446754185778521,2.1691483833065957,15.170481505750498,1.9016633706070711
Zach Collins,San Antonio Spurs,64,977.06,407.0,153.0,302.0,69.0,78.0,102.0,186.0,111.0,29.0,29.0,132.0,60.0,7700000,14.996008433463658,5.637320123636215,11.127259329007432,2.542320840071234,2.8739279061674825,3.758213415757477,6.853212699322457,4.0898204818537245,1.0685116574212434,1.0685116574212434,4.86357030274497,2.2107137739749865,14.53912758684216,1.8881983879015791
Jaden Ivey,Detroit Pistons,30,898.033,528.0,190.0,413.0,85.0,116.0,40.0,84.0,119.0,28.0,11.0,67.0,89.0,7641480,21.166260037214666,7.616646604300732,16.55618446092738,3.4074471650819067,4.650163189994132,1.6035045482738386,3.3673595513750607,4.77042603111467,1.122453183791687,0.4409637507753056,2.6858701183586797,3.5677976199092907,14.387444559387015,1.882808639083923
Jalen Suggs,Orlando Magic,35,1002.45,567.0,197.0,481.0,97.0,110.0,23.0,118.0,129.0,51.0,33.0,98.0,102.0,7252080,20.362112823582223,7.074667065689061,17.27367948526111,3.4834655095017206,3.950321711806075,0.8259763579230884,4.237617836301062,4.63265000748167,1.8315127936555438,1.1850965135418223,3.519377525063594,3.6630255873110875,13.596289091725277,1.8748123423521632
Davion Mitchell,Sacramento Kings,74,2027.31,588.0,223.0,476.0,58.0,84.0,35.0,132.0,363.0,72.0,16.0,185.0,128.0,5063760,10.44142237743611,3.959927194163695,8.452580019829233,1.0299362209035618,1.4916317682051585,0.6215132367521494,2.3439927786081065,6.445980141172292,1.2785415156044215,0.2841203368009826,3.285141394261361,2.2729626944078607,9.464758719682731,1.869116766924722
Jarace Walker,Indiana Pacers,75,1186.62,461.0,170.0,360.0,46.0,69.0,25.0,204.0,110.0,54.0,25.0,115.0,78.0,6059520,13.985943267431868,5.157506194063812,10.921777822723367,1.3955604995702078,2.093340749355312,0.7584567932446783,6.189007432876574,3.3372098902765845,1.638266673408505,0.7584567932446783,3.4889012489255196,2.366385194923396,11.255498811751025,1.857490166176698
Victor Wembanyama,San Antonio Spurs,46,1527.25,1116.0,408.0,857.0,158.0,189.0,82.0,424.0,168.0,52.0,176.0,105.0,149.0,12160680,26.306105745621213,9.617285971517434,20.201014896055,3.72434113602881,4.455066295629399,1.9328859060402683,9.994434440988705,3.9600589294483552,1.2257325257816338,4.14863316418399,2.4750368309052218,3.5121951219512195,22.47097724668522,1.8478388746916472
Cade Cunningham,Detroit Pistons,70,2451.95,1830.0,684.0,1457.0,313.0,370.0,56.0,369.0,638.0,71.0,53.0,195.0,309.0,11055240,26.868410856665104,10.042619139868268,21.39195334325741,4.595526009910479,5.432410938232835,0.8222027365974022,5.417728746507882,9.367238320520402,1.0424356124717062,0.7781561614225413,2.8630273863659537,4.536797243010666,20.239401292848548,1.8307518690547242
Amen Thompson,Houston Rockets,69,2225.42,970.0,388.0,697.0,169.0,247.0,192.0,372.0,265.0,97.0,89.0,167.0,138.0,8809320,15.69142004655301,6.276568018621204,11.2751750231417,2.7338659668736685,3.9956502592769003,3.105930565915647,6.0177404714615665,4.286831249831492,1.569142004655301,1.4397282310754824,2.7015125234787143,2.2323875942518714,16.048925596067257,1.8218120803952242
Isaiah Hartenstein,New York Knicks,57,1589.64,637.0,279.0,480.0,79.0,117.0,163.0,448.0,219.0,47.0,62.0,171.0,96.0,9245121,14.425907752698723,6.3184117158601945,10.870385747716464,1.7890843209783347,2.649656526005888,3.6914018268287156,10.145693364535365,4.959613497395637,1.064391937797237,1.4040914924133765,3.8725749226239903,2.1740771495432925,16.423341133841625,1.7764333353605244
LaMelo Ball,Charlotte Hornets,47,1504.47,1184.0,406.0,1003.0,193.0,229.0,47.0,185.0,346.0,54.0,13.0,157.0,167.0,10900635,28.33157191569124,9.715049153522502,24.00047857384993,4.618237651797642,5.479670581666633,1.1246485473289596,4.426808111826756,8.279327603740851,1.2921493948034855,0.311073002452691,3.7568047219286522,3.9960916468922614,18.994596103611233,1.742521981848877
Ivica Zubac,LA Clippers,80,2624.18,1340.0,592.0,942.0,156.0,236.0,300.0,710.0,214.0,55.0,90.0,168.0,127.0,10933333,18.382885320366746,8.121394111684413,12.92289400879513,2.1400970969979194,3.2375827877660837,4.1155713403806145,9.740185505567455,2.935774222804838,0.7545214124031127,1.2346714021141842,2.304719950613144,1.74225853409446,18.95906530802003,1.734060904211006
Jock Landale,Houston Rockets,42,500.023,200.0,81.0,152.0,27.0,40.0,56.0,81.0,37.0,13.0,10.0,49.0,21.0,8000000,14.399337630468997,5.8317317403399445,10.943496599156438,1.9439105801133147,2.879867526093799,4.03181453653132,5.8317317403399445,2.6638774616367646,0.935956945980485,0.7199668815234498,3.5278377194649044,1.5119304511992449,13.65057207368461,1.7063215092105763
Daniel Gafford,Dallas Mavericks,57,1226.09,701.0,283.0,403.0,135.0,196.0,155.0,233.0,80.0,23.0,102.0,152.0,66.0,12402000,20.582502100172093,8.309341076103712,11.83273658540564,3.9638199479646685,5.754879331859815,4.551052532848323,6.841259613894576,2.3489303395346184,0.6753174726162028,2.9948861829066384,4.462967645115775,1.9378675301160602,20.837948274596485,1.6802086981613036
Chet Holmgren,Oklahoma City Thunder,32,876.54,479.0,167.0,341.0,101.0,134.0,48.0,209.0,63.0,23.0,71.0,72.0,56.0,10386000,19.672804435621877,6.858785680060238,14.00506537066192,4.148127866383736,5.503456773221986,1.9713875008556372,8.58374974330892,2.5874460948730236,0.944623177493326,2.916010678348963,2.9570812512834554,2.299952084331576,17.339995892942706,1.6695547749800412
Gary Payton II,Golden State Warriors,62,927.177,400.0,171.0,298.0,27.0,38.0,53.0,132.0,83.0,52.0,17.0,108.0,39.0,8715000,15.531015113619082,6.639508961072158,11.570606259646215,1.0483435201692881,1.4754464357938128,2.0578595025545283,5.125234987494297,3.2226856360759597,2.019031964770481,0.660068142328811,4.1933740806771524,1.5142739735778605,14.43996130188734,1.6569089273536821
Paolo Banchero,Orlando Magic,46,1581.53,1191.0,412.0,911.0,280.0,385.0,51.0,294.0,219.0,36.0,28.0,97.0,136.0,11608080,27.110456330262465,9.378260292248646,20.73688137436533,6.373574955897138,8.763665564358565,1.1609011526812643,6.6922537036919945,4.9850461262195465,0.819459637186775,0.6373574955897138,2.2079884668643657,3.0957364071500386,18.986424538263584,1.6356214411223549
Jae'Sean Tate,Houston Rockets,52,588.11,188.0,70.0,148.0,32.0,47.0,50.0,67.0,47.0,26.0,7.0,82.0,22.0,6500000,11.508051214908775,4.284912686402204,9.059529679821802,1.9588172280695786,2.877012803727194,3.060651918858717,4.1012735712706805,2.877012803727194,1.5915389978065329,0.42849126864022036,5.019469146928295,1.3466868442978355,10.436823043308225,1.6056650835858808
Bilal Coulibaly,Washington Wizards,59,1947.51,727.0,263.0,624.0,138.0,185.0,91.0,203.0,199.0,78.0,41.0,139.0,125.0,6614280,13.438698645963306,4.861592495032117,11.534728961597118,2.5509496741993622,3.419751374832478,1.6821479735662461,3.7524839410323954,3.6785433707657473,1.4418411201996397,0.7578908452331439,2.5694348167660244,2.3106428208327556,10.473681778270713,1.5834953733846637
Dean Wade,Cleveland Cavaliers,59,1252.45,320.0,112.0,271.0,16.0,30.0,51.0,198.0,76.0,42.0,20.0,101.0,22.0,5709877,9.197971974929139,3.2192901912251983,7.789532516268115,0.45989859874645694,0.8623098726496067,1.4659267835043315,5.691245159487405,2.1845183440456704,1.2072338217094496,0.5748732484330712,2.9031099045870095,0.6323605732763783,8.950776478102918,1.5675953226493178
Tre Jones,San Antonio Spurs,46,904.972,330.0,128.0,238.0,55.0,67.0,31.0,85.0,192.0,37.0,10.0,55.0,35.0,9895833,13.127477977219185,5.091870245709259,9.467696238115654,2.1879129962031976,2.66527583173844,1.2331873251327115,3.381320085041305,7.637805368563889,1.471868742900333,0.39780236294603594,2.1879129962031976,1.3923082703111258,15.052841413878003,1.5211292888509742
Josh Green,Dallas Mavericks,68,1887.5,506.0,180.0,421.0,49.0,72.0,56.0,116.0,108.0,74.0,15.0,165.0,70.0,4765339,9.65086092715232,3.4331125827814573,8.029668874172184,0.9345695364238411,1.3732450331125827,1.0680794701986756,2.2124503311258277,2.059867549668874,1.4113907284768212,0.2860927152317881,3.1470198675496692,1.3350993377483444,7.098913907284771,1.4896975655425084
Jalen Green,Houston Rockets,82,2697.11,1723.0,608.0,1437.0,273.0,336.0,45.0,332.0,282.0,71.0,27.0,127.0,203.0,9891480,22.997949657225696,8.115353100170182,19.180530271290383,3.643900322938256,4.484800397462469,0.6006429103744377,4.4314099165402965,3.7640289050131432,0.9476810363685574,0.3603857462246627,1.695147769278969,2.7095669068002417,14.67837796752821,1.4839415302389745
Alex Caruso,Chicago Bulls,54,1040.64,382.0,140.0,314.0,42.0,51.0,38.0,121.0,137.0,87.0,30.0,102.0,37.0,9460000,13.214944649446492,4.843173431734317,10.862546125461254,1.452952029520295,1.7642988929889296,1.3145756457564575,4.185885608856088,4.739391143911439,3.0096863468634685,1.0378228782287822,3.5285977859778592,1.279981549815498,13.962177121771218,1.4759172433161962
Anthony Black,Orlando Magic,78,1886.99,736.0,262.0,620.0,150.0,197.0,52.0,178.0,240.0,86.0,48.0,166.0,139.0,7245480,14.041409864387198,4.9984366636813125,11.828361570543564,2.861700379970217,3.7583664990275514,0.9920561317230085,3.395884450897991,4.578720607952348,1.6407082178495913,0.9157441215904694,3.1669484205003737,2.651842352105734,10.68368141855548,1.4745305236582642
Nic Claxton,Brooklyn Nets,70,1881.73,724.0,320.0,568.0,79.0,154.0,157.0,358.0,157.0,62.0,100.0,150.0,87.0,9625000,13.851083843059312,6.122026007982017,10.86659616416808,1.5113751707205605,2.9462250163413457,3.003619010166177,6.84901659642988,3.003619010166177,1.1861425390465157,1.9131331274943801,2.8696996912415704,1.6644258209201108,14.092138617123604,1.4641182978829719
Chris Boucher,Toronto Raptors,50,862.3,502.0,182.0,370.0,68.0,87.0,70.0,154.0,33.0,24.0,25.0,68.0,29.0,11750000,20.957903281920444,7.598283659979127,15.447060187869651,2.8389191696625304,3.6321465847152963,2.922416792299664,6.429316943059261,1.3777107735126988,1.001971471645599,1.0437202829641656,2.8389191696625304,1.2107155282384323,17.192160500985736,1.4631625958285732
