full_name,team,games_played,minutes,points,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,personal_fouls,turnovers,salary,points_p36,field_goals_made_p36,field_goals_attempted_p36,free_throws_made_p36,free_throws_attempted_p36,offensive_rebounds_p36,defensive_rebounds_p36,assists_p36,steals_p36,blocks_p36,personal_fouls_p36,turnovers_p36,game_score,value_score
Jeremiah Robinson-Earl,New Orleans Pelicans,66,1238.9,418.0,158.0,347.0,46.0,55.0,110.0,205.0,88.0,39.0,7.0,79.0,51.0,2196970,12.146258777948178,4.591169585922996,10.083138267818226,1.3366696262813784,1.5981919444668657,3.1963838889337315,5.9568972475583175,2.557107111146985,1.1332633788037774,0.20340624747760108,2.295584792961498,1.4819598030510936,11.509887803696827,5.238982691478185
Colby Jones,Sacramento Kings,39,514.648,157.0,59.0,129.0,23.0,35.0,21.0,66.0,44.0,26.0,13.0,37.0,23.0,2019706,10.98226360541574,4.1270926924810745,9.023643344577264,1.6088666428316052,2.448275326048095,1.468965195628857,4.6167477576906935,3.077831838460462,1.8187188136357275,0.9093594068178638,2.5881767732508436,1.6088666428316052,10.35970216536351,5.1293119718233795
Josh Okogie,Phoenix Suns,40,624.978,283.0,94.0,212.0,63.0,85.0,45.0,68.0,33.0,48.0,19.0,47.0,31.0,2815937,16.301373808358058,5.414590593588894,12.211629849370699,3.628927738256387,4.896172345266553,2.592091241611705,3.916937876213243,1.9008669105152503,2.7648973243858186,1.0944385242360533,2.707295296794447,1.7856628553325078,14.394746695083668,5.111885207333711
Sam Merrill,Cleveland Cavaliers,71,1401.28,509.0,172.0,424.0,28.0,29.0,38.0,119.0,108.0,53.0,14.0,124.0,35.0,1997238,13.076615665677096,4.418817081525463,10.892897921899976,0.7193423155971683,0.7450331125827815,0.9762502854532998,3.0572048412879655,2.7746060744462206,1.361612240237497,0.35967115779858416,3.1856588262160312,0.8991778944964604,10.19153916419274,5.102816571782001
Jalen Pickett,Denver Nuggets,49,666.19,200.0,77.0,180.0,6.0,8.0,15.0,56.0,107.0,19.0,5.0,38.0,24.0,2019706,10.807727525180503,4.160975097194494,9.726954772662454,0.3242318257554151,0.43230910100722014,0.8105795643885377,3.0261637070505407,5.782134225971569,1.0267341148921478,0.2701931881295126,2.0534682297842957,1.2969273030216604,10.240321830108527,5.070204193139263
Kessler Edwards,Sacramento Kings,40,608.46,168.0,67.0,135.0,12.0,13.0,22.0,93.0,42.0,19.0,20.0,62.0,16.0,1927896,9.939848141208953,3.9641061039345233,7.987377970614338,0.7099891529434967,0.769154915688788,1.3016467803964105,5.502415935312099,2.4849620353022384,1.1241494921605364,1.183315254905828,3.6682772902080663,0.9466522039246622,9.75051770042402,5.05759527506879
Marcus Sasser,Detroit Pistons,57,810.787,375.0,137.0,296.0,43.0,51.0,18.0,51.0,133.0,37.0,4.0,72.0,54.0,2623680,16.6504889693594,6.082978636805967,13.142785959814352,1.9092560684865445,2.2644664998328783,0.7992234705292511,2.2644664998328783,5.905373421132801,1.642848244976794,0.17760521567316695,3.1968938821170045,2.3976704115877534,13.20494778529996,5.0329871727115965
Christian Braun,Denver Nuggets,79,2675.38,1218.0,476.0,821.0,177.0,214.0,98.0,312.0,205.0,85.0,37.0,170.0,81.0,2949120,16.38944748035793,6.405071429105398,11.047402611965401,2.3817177372933935,2.879590936614612,1.3186911765805232,4.198282113195135,2.758486644887829,1.1437627551973926,0.4978731993212179,2.287525510394785,1.0899386255410446,14.619979217905493,4.957403977425637
Svi Mykhailiuk,Boston Celtics,38,760.307,334.0,118.0,302.0,28.0,35.0,22.0,68.0,76.0,19.0,7.0,43.0,52.0,2019706,15.814664339536527,5.58721674271051,14.299486917784527,1.3257802440330024,1.657225305041253,1.0416844774545018,3.219752021223006,3.598546376661006,0.8996365941652515,0.3314450610082506,2.036019660479254,2.4621633103470044,9.976496336348337,4.939578501201828
Trey Murphy III,New Orleans Pelicans,53,1854.23,1124.0,381.0,839.0,204.0,230.0,47.0,221.0,188.0,56.0,39.0,112.0,103.0,3359280,21.822535499911012,7.397140592051688,16.289241356250304,3.9606737028308245,4.465465449270047,0.9125081570247487,4.290729844733393,3.650032628098995,1.0872437615614028,0.7571876196588342,2.1744875231228056,1.9997519185861516,16.405731759274733,4.883704769853877
Cory Joseph,Golden State Warriors,50,611.733,177.0,62.0,154.0,14.0,18.0,17.0,57.0,72.0,26.0,4.0,50.0,18.0,2019706,10.416309076018461,3.6486506367974263,9.062777388174254,0.8238888534703867,1.05928566874764,1.0004364649283266,3.35440461770086,4.23714267499056,1.5300792993021466,0.23539681527725334,2.942460190965667,1.05928566874764,9.568880541020349,4.737759129804214
AJ Green,Milwaukee Bucks,73,1659.14,541.0,182.0,424.0,22.0,27.0,18.0,156.0,108.0,37.0,7.0,157.0,40.0,1801769,11.73861156984944,3.94903383680702,9.199946960473499,0.4773557385151343,0.5858456790867558,0.39056378605783715,3.384886145834589,2.343382716347023,0.8028255602299985,0.15188591680027,3.4065841339489134,0.8679195245729715,8.44268717528358,4.685776686846972
KJ Martin,Philadelphia 76ers,43,911.498,274.0,111.0,201.0,37.0,47.0,30.0,95.0,48.0,17.0,22.0,101.0,24.0,1930681,10.82174618046337,4.383992065808153,7.938580227274223,1.4613306886027178,1.8562849287656142,1.1848627204886901,3.7520652815475186,1.895780352781904,0.6714222082769243,0.8688993283583727,3.9890378256452563,0.947890176390952,8.878571318861919,4.598673379425145
